2025-11-02 03:58:46,460 | INFO | === START: INGEST ===
2025-11-02 11:16:29,210 | INFO | Appointments file loaded: 1025 rows
2025-11-02 11:16:29,211 | INFO | === END: INGEST ===
2025-11-02 11:16:29,212 | INFO | Transforming doctors dataset...
2025-11-02 11:16:29,215 | INFO | Doctors cleaned: 5 rows
2025-11-02 11:16:29,216 | INFO | Transforming appointments dataset...
2025-11-02 11:16:29,219 | INFO | Dates normalized to YYYY-MM-DD format
2025-11-02 11:16:29,222 | INFO | Status values standardized
2025-11-02 11:17:47,684 | INFO | === START: INGEST ===
2025-11-02 11:17:47,685 | INFO | Reading doctors file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Enginner's Doctors Excel - VIP Medical Group.xlsx
2025-11-02 11:17:47,698 | INFO | Doctors file loaded: 5 rows
2025-11-02 11:17:47,699 | INFO | Reading appointments file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Engineer's Appointments Excel - VIP Medical Group.xlsx
2025-11-02 11:17:47,725 | INFO | Appointments file loaded: 1025 rows
2025-11-02 11:17:47,726 | INFO | === END: INGEST ===
2025-11-02 11:17:47,726 | INFO | Transforming doctors dataset...
2025-11-02 11:17:47,727 | INFO | Doctors cleaned: 5 rows
2025-11-02 11:17:47,728 | INFO | Transforming appointments dataset...
2025-11-02 11:17:47,731 | INFO | Dates normalized to YYYY-MM-DD format
2025-11-02 11:17:47,732 | INFO | Status values standardized
2025-11-02 11:18:09,126 | INFO | === START: INGEST ===
2025-11-02 11:18:09,126 | INFO | Reading doctors file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Enginner's Doctors Excel - VIP Medical Group.xlsx
2025-11-02 11:18:09,139 | INFO | Doctors file loaded: 5 rows
2025-11-02 11:18:09,140 | INFO | Reading appointments file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Engineer's Appointments Excel - VIP Medical Group.xlsx
2025-11-02 11:18:09,168 | INFO | Appointments file loaded: 1025 rows
2025-11-02 11:18:09,168 | INFO | === END: INGEST ===
2025-11-02 11:18:09,169 | INFO | Transforming doctors dataset...
2025-11-02 11:18:09,170 | INFO | Doctors cleaned: 5 rows
2025-11-02 11:18:09,171 | INFO | Transforming appointments dataset...
2025-11-02 11:18:09,174 | INFO | Dates normalized to YYYY-MM-DD format
2025-11-02 11:18:09,175 | INFO | Status values standardized
2025-11-02 11:19:41,602 | INFO | === START: INGEST ===
2025-11-02 11:19:41,603 | INFO | Reading doctors file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Enginner's Doctors Excel - VIP Medical Group.xlsx
2025-11-02 11:19:41,618 | INFO | Doctors file loaded: 5 rows
2025-11-02 11:19:41,619 | INFO | Reading appointments file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Engineer's Appointments Excel - VIP Medical Group.xlsx
2025-11-02 11:19:41,649 | INFO | Appointments file loaded: 1025 rows
2025-11-02 11:19:41,650 | INFO | === END: INGEST ===
2025-11-02 11:19:41,650 | INFO | Transforming doctors dataset...
2025-11-02 11:19:41,652 | INFO | Doctors cleaned: 5 rows
2025-11-02 11:19:41,652 | INFO | Transforming appointments dataset...
2025-11-02 11:19:41,655 | INFO | Dates normalized to YYYY-MM-DD format
2025-11-02 11:19:41,656 | INFO | Status values standardized
2025-11-02 11:22:04,326 | INFO | === START: INGEST ===
2025-11-02 11:22:04,327 | INFO | Reading doctors file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Enginner's Doctors Excel - VIP Medical Group.xlsx
2025-11-02 11:22:04,376 | INFO | Doctors file loaded: 5 rows
2025-11-02 11:22:04,379 | INFO | Reading appointments file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Engineer's Appointments Excel - VIP Medical Group.xlsx
2025-11-02 11:22:04,431 | INFO | Appointments file loaded: 1025 rows
2025-11-02 11:22:04,431 | INFO | === END: INGEST ===
2025-11-02 11:22:04,432 | INFO | Transforming doctors dataset...
2025-11-02 11:22:04,434 | INFO | Doctors cleaned: 5 rows
2025-11-02 11:22:04,435 | INFO | Transforming appointments dataset...
2025-11-02 11:22:04,438 | INFO | Dates normalized to YYYY-MM-DD format
2025-11-02 11:22:04,439 | INFO | Status values standardized
2025-11-02 11:25:20,406 | INFO | === START: INGEST ===
2025-11-02 11:25:20,407 | INFO | Reading doctors file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Enginner's Doctors Excel - VIP Medical Group.xlsx
2025-11-02 11:25:20,419 | INFO | Doctors file loaded: 5 rows
2025-11-02 11:25:20,420 | INFO | Reading appointments file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Engineer's Appointments Excel - VIP Medical Group.xlsx
2025-11-02 11:25:20,546 | INFO | Appointments file loaded: 1025 rows
2025-11-02 11:25:20,547 | INFO | === END: INGEST ===
2025-11-02 11:25:20,548 | INFO | Transforming doctors dataset...
2025-11-02 11:25:20,552 | INFO | Doctors cleaned: 5 rows
2025-11-02 11:25:20,554 | INFO | Transforming appointments dataset...
2025-11-02 11:25:20,559 | INFO | Dates normalized to YYYY-MM-DD format
2025-11-02 11:25:20,562 | INFO | Status values standardized
2025-11-02 11:28:43,861 | INFO | === START: INGEST ===
2025-11-02 11:28:43,862 | INFO | Reading doctors file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Enginner's Doctors Excel - VIP Medical Group.xlsx
2025-11-02 11:28:43,881 | INFO | Doctors file loaded: 5 rows
2025-11-02 11:28:43,882 | INFO | Reading appointments file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Engineer's Appointments Excel - VIP Medical Group.xlsx
2025-11-02 11:28:43,965 | INFO | Appointments file loaded: 1025 rows
2025-11-02 11:28:43,966 | INFO | === END: INGEST ===
2025-11-02 11:28:43,967 | INFO | Transforming doctors dataset...
2025-11-02 11:28:43,971 | INFO | Doctors cleaned: 5 rows
2025-11-02 11:28:43,971 | INFO | Transforming appointments dataset...
2025-11-02 11:28:43,975 | INFO | Dates normalized to YYYY-MM-DD format
2025-11-02 11:28:43,976 | INFO | Status values standardized
2025-11-02 11:29:15,422 | INFO | === START: INGEST ===
2025-11-02 11:29:15,424 | INFO | Reading doctors file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Enginner's Doctors Excel - VIP Medical Group.xlsx
2025-11-02 11:29:15,442 | INFO | Doctors file loaded: 5 rows
2025-11-02 11:29:15,443 | INFO | Reading appointments file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Engineer's Appointments Excel - VIP Medical Group.xlsx
2025-11-02 11:29:15,479 | INFO | Appointments file loaded: 1025 rows
2025-11-02 11:29:15,481 | INFO | === END: INGEST ===
2025-11-02 11:29:15,482 | INFO | Transforming doctors dataset...
2025-11-02 11:29:15,485 | INFO | Doctors cleaned: 5 rows
2025-11-02 11:29:15,486 | INFO | Transforming appointments dataset...
2025-11-02 11:29:15,489 | INFO | Dates normalized to YYYY-MM-DD format
2025-11-02 11:29:15,490 | INFO | Status values standardized
2025-11-02 11:29:17,872 | INFO | === START: INGEST ===
2025-11-02 11:29:17,874 | INFO | Reading doctors file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Enginner's Doctors Excel - VIP Medical Group.xlsx
2025-11-02 11:29:17,891 | INFO | Doctors file loaded: 5 rows
2025-11-02 11:29:17,891 | INFO | Reading appointments file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Engineer's Appointments Excel - VIP Medical Group.xlsx
2025-11-02 11:29:17,927 | INFO | Appointments file loaded: 1025 rows
2025-11-02 11:29:17,928 | INFO | === END: INGEST ===
2025-11-02 11:29:17,928 | INFO | Transforming doctors dataset...
2025-11-02 11:29:17,930 | INFO | Doctors cleaned: 5 rows
2025-11-02 11:29:17,931 | INFO | Transforming appointments dataset...
2025-11-02 11:29:17,935 | INFO | Dates normalized to YYYY-MM-DD format
2025-11-02 11:29:17,936 | INFO | Status values standardized
2025-11-02 11:30:41,744 | INFO | === START: INGEST ===
2025-11-02 11:30:41,744 | INFO | Reading doctors file from: /Users/youngeddieb/PycharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Enginner's Doctors Excel - VIP Medical Group.xlsx
2025-11-02 11:30:41,811 | INFO | Doctors file loaded: 5 rows
2025-11-02 11:30:41,811 | INFO | Reading appointments file from: /Users/youngeddieb/PycharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Engineer's Appointments Excel - VIP Medical Group.xlsx
2025-11-02 11:30:41,831 | INFO | Appointments file loaded: 1025 rows
2025-11-02 11:30:41,831 | INFO | === END: INGEST ===
2025-11-02 11:30:41,831 | INFO | === START: INGEST ===
2025-11-02 11:30:41,831 | INFO | Reading doctors file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Enginner's Doctors Excel - VIP Medical Group.xlsx
2025-11-02 11:30:41,836 | INFO | Doctors file loaded: 5 rows
2025-11-02 11:30:41,837 | INFO | Reading appointments file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Engineer's Appointments Excel - VIP Medical Group.xlsx
2025-11-02 11:30:41,855 | INFO | Appointments file loaded: 1025 rows
2025-11-02 11:30:41,855 | INFO | === END: INGEST ===
2025-11-02 11:30:41,855 | INFO | Transforming doctors dataset...
2025-11-02 11:30:41,857 | INFO | Doctors cleaned: 5 rows
2025-11-02 11:30:41,857 | INFO | Transforming appointments dataset...
2025-11-02 11:30:41,858 | INFO | Dates normalized to YYYY-MM-DD format
2025-11-02 11:30:41,859 | INFO | Status values standardized
2025-11-02 11:30:41,859 | INFO | Transformations complete. Holding DataFrames in memory.
2025-11-02 11:30:50,939 | INFO | === START: INGEST ===
2025-11-02 11:30:50,941 | INFO | Reading doctors file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Enginner's Doctors Excel - VIP Medical Group.xlsx
2025-11-02 11:30:50,955 | INFO | Doctors file loaded: 5 rows
2025-11-02 11:30:50,958 | INFO | Reading appointments file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Engineer's Appointments Excel - VIP Medical Group.xlsx
2025-11-02 11:30:50,985 | INFO | Appointments file loaded: 1025 rows
2025-11-02 11:30:50,986 | INFO | === END: INGEST ===
2025-11-02 11:30:50,986 | INFO | Transforming doctors dataset...
2025-11-02 11:30:50,987 | INFO | Doctors cleaned: 5 rows
2025-11-02 11:30:50,988 | INFO | Transforming appointments dataset...
2025-11-02 11:30:50,991 | INFO | Dates normalized to YYYY-MM-DD format
2025-11-02 11:30:50,992 | INFO | Status values standardized
2025-11-02 11:32:25,954 | INFO | === START: INGEST ===
2025-11-02 11:32:25,955 | INFO | Reading doctors file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Enginner's Doctors Excel - VIP Medical Group.xlsx
2025-11-02 11:32:25,971 | INFO | Doctors file loaded: 5 rows
2025-11-02 11:32:25,972 | INFO | Reading appointments file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Engineer's Appointments Excel - VIP Medical Group.xlsx
2025-11-02 11:32:26,003 | INFO | Appointments file loaded: 1025 rows
2025-11-02 11:32:26,003 | INFO | === END: INGEST ===
2025-11-02 11:32:34,346 | INFO | === START: INGEST ===
2025-11-02 11:32:34,347 | INFO | Reading doctors file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Enginner's Doctors Excel - VIP Medical Group.xlsx
2025-11-02 11:32:34,364 | INFO | Doctors file loaded: 5 rows
2025-11-02 11:32:34,365 | INFO | Reading appointments file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Engineer's Appointments Excel - VIP Medical Group.xlsx
2025-11-02 11:32:34,397 | INFO | Appointments file loaded: 1025 rows
2025-11-02 11:32:34,397 | INFO | === END: INGEST ===
2025-11-02 11:33:46,633 | INFO | === START: INGEST ===
2025-11-02 11:33:46,636 | INFO | Reading doctors file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Enginner's Doctors Excel - VIP Medical Group.xlsx
2025-11-02 11:33:46,651 | INFO | Doctors file loaded: 5 rows
2025-11-02 11:33:46,652 | INFO | Reading appointments file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Engineer's Appointments Excel - VIP Medical Group.xlsx
2025-11-02 11:33:46,683 | INFO | Appointments file loaded: 1025 rows
2025-11-02 11:33:46,683 | INFO | === END: INGEST ===
2025-11-02 11:33:46,685 | INFO | Transforming doctors dataset...
2025-11-02 11:33:46,687 | INFO | Doctors cleaned: 5 rows
2025-11-02 11:33:46,689 | INFO | Transforming appointments dataset...
2025-11-02 11:33:46,693 | INFO | Dates normalized to YYYY-MM-DD format
2025-11-02 11:33:46,694 | INFO | Status values standardized
2025-11-02 11:39:02,264 | INFO | === START: INGEST ===
2025-11-02 11:39:02,264 | INFO | Reading doctors file from: /Users/youngeddieb/PycharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Enginner's Doctors Excel - VIP Medical Group.xlsx
2025-11-02 11:39:02,332 | INFO | Doctors file loaded: 5 rows
2025-11-02 11:39:02,332 | INFO | Reading appointments file from: /Users/youngeddieb/PycharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Engineer's Appointments Excel - VIP Medical Group.xlsx
2025-11-02 11:39:02,352 | INFO | Appointments file loaded: 1025 rows
2025-11-02 11:39:02,352 | INFO | === END: INGEST ===
2025-11-02 11:39:02,352 | INFO | === START: INGEST ===
2025-11-02 11:39:02,352 | INFO | Reading doctors file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Enginner's Doctors Excel - VIP Medical Group.xlsx
2025-11-02 11:39:02,357 | INFO | Doctors file loaded: 5 rows
2025-11-02 11:39:02,357 | INFO | Reading appointments file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Engineer's Appointments Excel - VIP Medical Group.xlsx
2025-11-02 11:39:02,377 | INFO | Appointments file loaded: 1025 rows
2025-11-02 11:39:02,377 | INFO | === END: INGEST ===
2025-11-02 11:39:02,377 | INFO | Transforming doctors dataset...
2025-11-02 11:39:02,379 | INFO | Doctors cleaned: 5 rows
2025-11-02 11:39:02,379 | INFO | Transforming appointments dataset...
2025-11-02 11:39:02,380 | INFO | Dates normalized to YYYY-MM-DD format
2025-11-02 11:39:02,381 | INFO | Status values standardized
2025-11-02 11:39:02,381 | INFO | Transformations complete. Holding DataFrames in memory.
2025-11-02 11:40:46,969 | INFO | === START: INGEST ===
2025-11-02 11:40:46,970 | INFO | Reading doctors file from: /Users/youngeddieb/PycharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Enginner's Doctors Excel - VIP Medical Group.xlsx
2025-11-02 11:40:46,989 | INFO | Doctors file loaded: 5 rows
2025-11-02 11:40:46,990 | INFO | Reading appointments file from: /Users/youngeddieb/PycharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Engineer's Appointments Excel - VIP Medical Group.xlsx
2025-11-02 11:40:47,020 | INFO | Appointments file loaded: 1025 rows
2025-11-02 11:40:47,020 | INFO | === END: INGEST ===
2025-11-02 11:40:47,021 | INFO | === START: INGEST ===
2025-11-02 11:40:47,021 | INFO | Reading doctors file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Enginner's Doctors Excel - VIP Medical Group.xlsx
2025-11-02 11:40:47,028 | INFO | Doctors file loaded: 5 rows
2025-11-02 11:40:47,029 | INFO | Reading appointments file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Engineer's Appointments Excel - VIP Medical Group.xlsx
2025-11-02 11:40:47,050 | INFO | Appointments file loaded: 1025 rows
2025-11-02 11:40:47,050 | INFO | === END: INGEST ===
2025-11-02 11:40:47,051 | INFO | Transforming doctors dataset...
2025-11-02 11:40:47,053 | INFO | Doctors cleaned: 5 rows
2025-11-02 11:40:47,053 | INFO | Transforming appointments dataset...
2025-11-02 11:40:47,055 | INFO | Dates normalized to YYYY-MM-DD format
2025-11-02 11:40:47,056 | INFO | Status values standardized
2025-11-02 11:40:54,514 | INFO | === START: INGEST ===
2025-11-02 11:40:54,515 | INFO | Reading doctors file from: /Users/youngeddieb/PycharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Enginner's Doctors Excel - VIP Medical Group.xlsx
2025-11-02 11:40:54,525 | INFO | Doctors file loaded: 5 rows
2025-11-02 11:40:54,526 | INFO | Reading appointments file from: /Users/youngeddieb/PycharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Engineer's Appointments Excel - VIP Medical Group.xlsx
2025-11-02 11:40:54,554 | INFO | Appointments file loaded: 1025 rows
2025-11-02 11:40:54,554 | INFO | === END: INGEST ===
2025-11-02 11:40:54,555 | INFO | === START: INGEST ===
2025-11-02 11:40:54,556 | INFO | Reading doctors file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Enginner's Doctors Excel - VIP Medical Group.xlsx
2025-11-02 11:40:54,569 | INFO | Doctors file loaded: 5 rows
2025-11-02 11:40:54,570 | INFO | Reading appointments file from: /Users/youngeddieb/PyCharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Engineer's Appointments Excel - VIP Medical Group.xlsx
2025-11-02 11:40:54,603 | INFO | Appointments file loaded: 1025 rows
2025-11-02 11:40:54,603 | INFO | === END: INGEST ===
2025-11-02 11:40:54,603 | INFO | Transforming doctors dataset...
2025-11-02 11:40:54,605 | INFO | Doctors cleaned: 5 rows
2025-11-02 11:40:54,605 | INFO | Transforming appointments dataset...
2025-11-02 11:40:54,608 | INFO | Dates normalized to YYYY-MM-DD format
2025-11-02 11:40:54,609 | INFO | Status values standardized
2025-11-02 11:41:09,353 | INFO | === START: INGEST ===
2025-11-02 11:41:09,354 | INFO | Reading doctors file from: /Users/youngeddieb/PycharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Enginner's Doctors Excel - VIP Medical Group.xlsx
2025-11-02 11:41:09,365 | INFO | Doctors file loaded: 5 rows
2025-11-02 11:41:09,365 | INFO | Reading appointments file from: /Users/youngeddieb/PycharmProjects/BI-Analytics/BI-Analytics/Pipeline/datasets/Data Engineer's Appointments Excel - VIP Medical Group.xlsx
2025-11-02 11:41:09,393 | INFO | Appointments file loaded: 1025 rows
2025-11-02 11:41:09,394 | INFO | === END: INGEST ===
2025-11-02 11:41:09,395 | INFO | === START: INGEST ===
